artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Dr. Dre feat. Snoop Doggy Dogg,"At the intersection of past and future West Coast hip-hop sits Dre’s debut solo single, a smooth and inimitable kickback classic that would help define his career following the demise of N.W.A. In a radio interview, the producer and rapper revealed that the song originally sampled a track by Boz Scaggs before he settled on the bass line from Leon Haywood’s 1975 hit “I Want’a Do Something Freaky to You.” Snoop was in jail while Dre was recording, so he had to originally record his parts over the phone. “I really wanted this demo done, so he called in and I taped the receiver of the phone to the mic,” Dre recalled. “You can hear jail sounds in the back.”",,,,29,"{'compound': 0.0516, 'neg': 0.021, 'neu': 0.956, 'pos': 0.023}",'Nuthin' but a 'G' Thang',"Calvin Broadus, Frederick Knight, Leon Haywood",1992,True,False,other
Lorde,"“I’ve always been fascinated with aristocracy,” Lorde told Rolling Stone around the time “Royals” came out of nowhere to take the Number One spot on the U.S. charts. Written “in like half an hour” by a 15-year-old New Zealander taking influence from the diamond-encrusted swagger of Kanye West and Jay-Z’s Watch the Throne as well as the muted electronic work of artists like James Blake, “Royals” was maximal minimalism, a mumbled thunderbolt of playful resistance against rap and pop’s obsession with wealth and status. As Lorde said later, “I was definitely poking fun at a lot of things people take to be normal.”",190185,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",75,30,"{'compound': 0.9595, 'neg': 0.021, 'neu': 0.776, 'pos': 0.203}",'Royals',"Ella Yelich O'Connor, Joel Little",2011,False,True,pop
The Rolling Stones,"The riff came to Keith Richards in a dream one night in May 1965, in his motel room in Clearwater, Florida, on the Rolling Stones’ third U.S. tour. He woke up and grabbed a guitar and a cassette machine. Richards played the run of notes once, then fell back to sleep. “On the tape,” he said later, “you can hear me drop the pick, and the rest is snoring.” Jagger later said that “Satisfaction” was “my view of the world, my frustration with everything.” Inspired by that riff and the title line, also Richards’ idea, Jagger wrote the words — a litany of disgust with “America, its advertising syndrome, the constant barrage” — in 10 minutes, by the motel pool the day after Richards’ dream.",222813,"['british invasion', 'classic rock', 'rock']",76,31,"{'compound': -0.128, 'neg': 0.07, 'neu': 0.857, 'pos': 0.073}",'(I Can't Get No) Satisfaction',"Mick Jagger, Keith Richards",1965,False,False,rock
Notorious B.I.G.,"“If you don’t know, now you know,” Biggie announces in “Juicy” — and this was the hit that guaranteed everyone around the world would know. The Notorious B.I.G. made “Juicy” his first pop shot, from his 1994 debut, Ready to Die, repping Brooklyn over a sample of Mtume’s lush Eighties oral-sex jam “Juicy Fruit.” At a time when East Coast hip-hop was too busy playing D against the West, Biggie’s lyrical confidence was a game-changer, revitalizing New York rap. He boasts about going from dreaming of stardom to rocking sold-out shows, and dressing his mom up in mink — the first rush of “mo’ money” before the “mo’ problems” kicked in. “I told him, ‘No landlord dissed us!’” said Voletta Wallace. “He said, ‘Mom, I was just writing a rags-to-riches kinda story.’”",302760,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",74,32,"{'compound': -0.126, 'neg': 0.051, 'neu': 0.89, 'pos': 0.059}",'Juicy',"Diddy, James Mtume, Jean-Claude Olivier, The Notorious B.I.G.",1994,True,False,hip hop
Chuck Berry,"“Johnny B. Goode” was the first rock & roll hit about rock & roll stardom. The title character is Chuck Berry — “more or less,” as he told Rolling Stone in 1972. “The original words [were], of course, ‘That little colored boy could play.’ I changed it to ‘country boy’ — or else it wouldn’t get on the radio.” “Johnny B. Goode” is the supreme example of Berry’s poetry in motion. The rhythm section rolls with freight-train momentum, while Berry’s stabbing, single-note lick in the chorus sounds, as he put it, “like a-ringin’ a bell” — a perfect description of how rock & roll guitar can make you feel on top of the world.",161560,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",74,33,"{'compound': 0.886, 'neg': 0.0, 'neu': 0.899, 'pos': 0.101}",'Johnny B. Goode',Chuck Berry,1958,True,False,rock
James Brown,"In mid-1965, Brown was locked in a contract struggle with King Records, but when he learned King was nearly bankrupt, he threw the label a bone: a song he’d recorded a few months earlier, yelling “This is a hit!” as the tape rolled. Arguably the first funk record, it’s driven by the empty space between beats as much as by Brown’s bellow and guitarist Jimmy Nolen’s ice-chipper scratch. In a stroke of postproduction genius (you can hear the original recording on the Grammy-winning Star Time box set), Brown sliced off the intro to have the song start with a face-smashing horn blast, and sped it up just enough so it sounded like an urgent bulletin from the future.",125706,"['funk', 'motown', 'soul']",49,34,"{'compound': -0.4111, 'neg': 0.093, 'neu': 0.836, 'pos': 0.071}",'Papa’s Got a Brand New Bag',James Brown,1966,True,False,funk
Little Richard,"“I’d been singing ‘Tutti-Frutti’ for years,” said Richard, “but it never struck me as a song you’d record.” Producer Robert Blackwell asked Dorothy LaBostrie, a young songwriter who had been pestering him for work, to clean up the filthy original lyrics (“Tutti-Frutti, good booty/If it don’t fit, don’t force it/You can grease it, make it easy”). “Fifteen minutes before the session was to end, the chick comes in and puts these little trite lyrics in front of me,” said Blackwell. Richard cleaned up his own “Awop-bop-a-loo-mop a-good-goddamn” and loaded LaBostrie’s doggerel with sexual dynamite.",144226,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly', 'soul']",64,35,"{'compound': 0.8842, 'neg': 0.015, 'neu': 0.847, 'pos': 0.138}",'Tutti-Frutti',"Dorothy LaBostrie, Richard Penniman, Joe Lubin",1955,True,False,pop
The White Stripes,"Jack White was futzing about on his guitar during soundcheck on one of the White Stripes’ Australian tours when he stumbled upon the weightiest hard-rock riff this side of Jimmy Page. “I didn’t have lyrics for it until later on, and I was just calling it ‘Seven Nation Army’ — that’s what I called the Salvation Army when I was a kid,” White once said. “So that was just a way for me to remember which [riff] I was talking about.” By the time he finished the lyrics, which addressed people gossiping about who he and his ex-wife, White Stripes drummer Meg White, were dating, he gave the term new life: “I’m gonna fight ’em all/A seven nation army couldn’t hold me back.” Same goes for the riff.",232106,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",81,36,"{'compound': -0.6369, 'neg': 0.042, 'neu': 0.958, 'pos': 0.0}",'Seven Nation Army',Jack White,2003,False,True,rock
Prince and the Revolution,"The Purple Rain soundtrack album was completed, and so was the movie. But Prince just couldn’t stop making music. And at the very last minute, he added a brand-new song: “When Doves Cry.” Even by Prince standards, it’s eccentric; after single-handedly recording the stark, brokenhearted song in the studio, he decided to erase the bass track from the final mix. According to the engineer, Prince said, “Nobody would have the balls to do this. You just wait — they’ll be freaking.” He was right. Prince made it the soundtrack’s first single — and 1984’s most avant-garde pop record became his first American Number One hit, keeping Bruce Springsteen’s “Dancing in the Dark” out of the top spot.",352906,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",70,37,"{'compound': -0.0387, 'neg': 0.024, 'neu': 0.945, 'pos': 0.031}",'When Doves Cry', Prince,1984,True,False,funk
Otis Redding,"A few days after his star-making set at the Monterey Pop Festival in June 1967, Redding stayed on a houseboat in Sausalito, California, while he played the Fillmore in San Francisco. He wrote the first verse to “Dock of the Bay” on that boat, then completed the song with guitarist Steve Cropper in Memphis. Just a few days later, Redding was on tour with the Bar-Kays when his private plane crashed into Lake Monona in Madison, Wisconsin. While divers searched for Redding’s body, Cropper kept his mind busy by mixing “Dock of the Bay.” On December 11th, 1967, the plane was pulled out of the lake, with Redding’s body still strapped into the co-pilot’s seat.",163755,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']",73,38,"{'compound': 0.6808, 'neg': 0.0, 'neu': 0.952, 'pos': 0.048}",'(Sittin' On) the Dock of the Bay',"Otis Redding, Steve Cropper",1967,True,False,soul
Outkast,"The ATLien hip-hop visionaries dropped “B.O.B.” when the world was still reeling from the innovations of Aquemini. But André 3000 and Big Boi were not standing still. “Everybody’s been doing music like they all have the same formula: E = MC2,” Big Boi said at the time. So Outkast made sure nobody could fit “B.O.B.” into any formula — manic drums, headbanging rock guitar, DJ scratches, a gospel chorus. “It was an idea before it was a song,” said André, who was inspired by the frenetic beats of U.K. drum-and-bass, which he and Big Boi heard at a party in London. “It was the tempo I was looking for, so I thought about how to Americanize it.”",304226,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']",61,39,"{'compound': 0.9565, 'neg': 0.0, 'neu': 0.855, 'pos': 0.145}",'B.O.B.',"André Benjamin, Antwan Patton, David Sheats",2000,True,False,hip hop
